,course_title,paid,price,subscribers,reviews,lectures,level,duration,subject
3207,The Professional Ruby on Rails Developer,True,100,17334,676,96,All Levels,17.0,Web Development
446,Beginners Guide To Ichimoku Trading,True,20,265,16,17,All Levels,1.0,Business Finance
1528,Book Covers and Graphic Design with PowerPoint 2013/2016/365,True,195,5840,57,30,Beginner Level,4.0,Graphic Design
755,Introduction to Corporate Finance (Mergers & Acquisitions),False,0,2080,83,30,Beginner Level,1.5,Business Finance
2889,Build a Website in 30 Minutes,True,95,5065,40,12,Beginner Level,0.533333333,Web Development
2412,Funk Rhythm Guitar Techniques,True,35,82,6,7,All Levels,1.5,Musical Instruments
3558,JavaScript project Learn to create a memory Game and more,True,95,6000,21,25,Beginner Level,1.5,Web Development
1350,Curso básico de Gimp; software gratis de diseño gráfico,True,60,190,25,36,Beginner Level,2.0,Graphic Design
1159,Accounting for Depreciation (Collage Level),True,20,576,1,14,All Levels,1.0,Business Finance
921,Business Accounts For Managers,True,30,16,0,23,Beginner Level,3.0,Business Finance
2826,Getting Started with WordPress 2016,True,20,1613,21,20,Beginner Level,1.0,Web Development
3043,Mastering JavaScript,True,95,694,39,39,Expert Level,4.0,Web Development
1267,Photoshop from Zero to Hero ( Arabic ),True,60,720,220,82,Beginner Level,12.5,Graphic Design
2562,CSS Development (with CSS3!),True,20,25864,188,32,All Levels,5.0,Web Development
2739,WP Plugin Development - Build your own plugin!,True,200,5439,22,24,Beginner Level,4.0,Web Development
1821,Bass Guitar Lessons For Beginners,True,95,180,21,38,Beginner Level,2.5,Musical Instruments
2155,Modern Piano Lessons For Beginners,True,20,736,6,46,Beginner Level,5.0,Musical Instruments
1274,Typography 101: Picking the Right Fonts for Business Success,True,75,1224,10,15,Beginner Level,1.5,Graphic Design
2524,Step-by-step HTML and CSS for Absolute Beginners,True,120,6162,324,43,Beginner Level,4.0,Web Development
1889,Classical Guitar Essentials - The Basics Part 1,True,65,861,19,52,Beginner Level,4.5,Musical Instruments
2113,The Art of the Blues Shuffle - A Guitarist's Guide,True,20,8,0,11,Intermediate Level,1.5,Musical Instruments
3141,The Complete Web Development Course -  Build 15 Projects,True,200,7501,1213,384,All Levels,76.5,Web Development
168,Analysis of Company Financial Statements,True,20,832,34,34,All Levels,1.5,Business Finance
3287,Cross-Platform Development with ASP.NET Core 1.0 MVC,True,35,601,126,64,All Levels,5.5,Web Development
3069,JavaScript in Action JavaScript Projects,True,150,7720,58,17,Beginner Level,1.5,Web Development
1586,How to make Business Cards like a Pro,True,20,593,3,13,All Levels,0.7,Graphic Design
279,المحاسبة للإداريين و غير المحاسبين,True,20,9,3,17,Beginner Level,0.716666667,Business Finance
2480,ChatBots: Messenger ChatBot with API.AI and Node.JS,True,50,2577,529,64,All Levels,4.5,Web Development
2135,Aprende a tocar el teclado como los expertos,True,50,11,1,37,All Levels,2.5,Musical Instruments
2355,Learn Piano Online-Keys to the Keyboard,True,50,18,1,9,Beginner Level,2.0,Musical Instruments
412,ChalkTalk: Financial Accounting,True,20,25,1,108,All Levels,3.5,Business Finance
2031,#5  Piano Hand Coordination:  Piano Runs in 2 Beats Eb Key,True,75,940,3,32,Intermediate Level,0.6166666670000001,Musical Instruments
89,Emini ES Futures - Advanced Non Directional Options Trading,True,200,1057,15,14,All Levels,1.5,Business Finance
2172,Master the Trombone: Intermediate Instruction Made Simple!,True,50,231,7,110,All Levels,9.0,Musical Instruments
350,Financial Accounting: The Complete Introductory Crash Course,True,100,2591,44,69,All Levels,10.0,Business Finance
2479,Learning Dynamic Website Design - PHP MySQL and JavaScript,True,50,47886,285,125,All Levels,12.5,Web Development
2818,RESTful API with Laravel 5.4: Definitive Guide,True,145,655,95,195,All Levels,12.5,Web Development
184,TRADING PSYCHOLOGY: Trading Mindset Mastery,True,120,975,23,23,Intermediate Level,1.0,Business Finance
147,Python Algo Trading: FX Trading with Oanda,True,200,453,42,33,Intermediate Level,3.0,Business Finance
2199,"Master the Euphonium with Simple, Intermediate Instruction!",True,50,120,6,106,Intermediate Level,8.0,Musical Instruments
1604,Adobe InDesign CS6,True,50,5,0,35,Beginner Level,5.0,Graphic Design
414,How to trade options,True,45,12,1,9,Intermediate Level,0.716666667,Business Finance
1063,Introduction to Health Financing,True,85,26,1,17,Beginner Level,2.0,Business Finance
1296,Photoshop CC MasterClass,True,95,505,88,78,All Levels,11.5,Graphic Design
663,Year-end QuickBooks Procedures,True,20,51,2,10,Beginner Level,2.0,Business Finance
1702,LaTeX A-Z: from beginner to advance in less than 3 hour,True,95,623,14,30,Beginner Level,3.0,Graphic Design
2747,Introduction to HTML5 Canvas basics of drawing,True,200,2918,16,17,Beginner Level,1.0,Web Development
17,The Complete Chart Pattern Trading Course: A Proven Approach,True,200,2666,115,52,All Levels,4.0,Business Finance
3348,Master the Art of Web Design with HTML & CSS,True,145,550,15,59,All Levels,3.0,Web Development
2825,Learn Web Scraping with Node.js,True,75,16731,137,10,All Levels,1.0,Web Development
1795,Infographic Design: How To Create Your Own Infographic,True,20,84,8,13,All Levels,2.0,Graphic Design
1802,Your First 10 Guitar Lessons - Learn how to play guitar,False,0,924,4,18,Beginner Level,1.0,Musical Instruments
2888,Learn ASP.Net Web API 2 for Absolute Beginner,True,30,1355,14,29,All Levels,3.5,Web Development
2716,Javascript for Beginners Learn by Doing Practical Exercises,True,100,5089,685,29,All Levels,3.5,Web Development
697,Trading strategies with common sense technical analysis,True,75,1750,71,29,All Levels,3.0,Business Finance
3660,"Learn HTML, CSS, and Ruby on Rails: Build Your First Blog",True,20,2985,40,27,Beginner Level,1.5,Web Development
95,Options Trading 101: The Basics,False,0,1514,66,11,Beginner Level,0.55,Business Finance
2000,Piano For Singer/Songwriters 2: Pop/Rock Rhythm Immersion,True,100,567,37,24,All Levels,1.5,Musical Instruments
1858,Guitar Fretboard Mastery for the Blues Guitarist,True,20,257,6,5,All Levels,1.0,Musical Instruments
80,Learn How to Set Up an Incubator Hedge Fund - Step-by-Step,True,200,1406,71,54,Expert Level,1.5,Business Finance
196,CryptoArbitrager: Bitcoin Trading Robot (no mining),True,150,1224,42,14,All Levels,0.55,Business Finance
788,Introduction to Forex Trading Business For Beginners,True,20,0,0,27,Beginner Level,1.5,Business Finance
2358,Getting Started with Power Chords,True,20,6,0,27,Beginner Level,1.0,Musical Instruments
2176,Guitar for Absolute Beginners (Class 1),True,20,45,4,48,Beginner Level,1.5,Musical Instruments
3219,Learn Responsive Web Development from Scratch,False,0,59639,2692,24,All Levels,4.5,Web Development
331,Case Studies in Macro Economics,True,50,114,1,22,Beginner Level,4.0,Business Finance
2473,Curso de guitarra para principiantes.,True,20,4,0,7,Beginner Level,1.0,Musical Instruments
251,10 Numbers Every Business Owner Should Know,True,20,13,1,9,All Levels,1.0,Business Finance
3526,Redirect Your Visitors By Country Easily -Wordpress Tutorial,True,20,2306,3,24,Beginner Level,1.0,Web Development
